"","GEOID","NAME","variable","value"
"115","39053","Gallia County, Ohio","pct.black",2
"116","39055","Geauga County, Ohio","pct.black",1.1
"117","39057","Greene County, Ohio","pct.black",6.7
"118","39059","Guernsey County, Ohio","pct.black",1.4
"119","39061","Hamilton County, Ohio","pct.black",25
"120","39063","Hancock County, Ohio","pct.black",1.8
"121","39065","Hardin County, Ohio","pct.black",0.8
"122","39067","Harrison County, Ohio","pct.black",1.6
"123","39069","Henry County, Ohio","pct.black",0.6
"124","39071","Highland County, Ohio","pct.black",1.2
"125","39073","Hocking County, Ohio","pct.black",0.5
"126","39075","Holmes County, Ohio","pct.black",0.3
"127","39077","Huron County, Ohio","pct.black",1
"128","39079","Jackson County, Ohio","pct.black",0.5
"129","39081","Jefferson County, Ohio","pct.black",5.5
"130","39083","Knox County, Ohio","pct.black",0.9
"131","39085","Lake County, Ohio","pct.black",4.6
"132","39087","Lawrence County, Ohio","pct.black",1.9
"133","39089","Licking County, Ohio","pct.black",4
"134","39091","Logan County, Ohio","pct.black",1.5
"135","39093","Lorain County, Ohio","pct.black",7.3
"136","39095","Lucas County, Ohio","pct.black",19.3
"137","39097","Madison County, Ohio","pct.black",6.1
"138","39099","Mahoning County, Ohio","pct.black",14.8
"139","39101","Marion County, Ohio","pct.black",6.2
"140","39103","Medina County, Ohio","pct.black",1.3
"141","39105","Meigs County, Ohio","pct.black",0.7
"142","39107","Mercer County, Ohio","pct.black",0.4
"143","39109","Miami County, Ohio","pct.black",2.4
"144","39111","Monroe County, Ohio","pct.black",0.1
"145","39113","Montgomery County, Ohio","pct.black",21
"146","39115","Morgan County, Ohio","pct.black",2.9
"147","39117","Morrow County, Ohio","pct.black",0.4
"148","39119","Muskingum County, Ohio","pct.black",3.5
"149","39121","Noble County, Ohio","pct.black",5.3
"150","39123","Ottawa County, Ohio","pct.black",0.8
"151","39125","Paulding County, Ohio","pct.black",0.7
"152","39127","Perry County, Ohio","pct.black",0.3
"153","39129","Pickaway County, Ohio","pct.black",3.7
"154","39131","Pike County, Ohio","pct.black",0.7
"155","39133","Portage County, Ohio","pct.black",4.9
"156","39135","Preble County, Ohio","pct.black",0.4
"157","39137","Putnam County, Ohio","pct.black",0.3
"158","39139","Richland County, Ohio","pct.black",9
"159","39141","Ross County, Ohio","pct.black",5.2
"160","39143","Sandusky County, Ohio","pct.black",3
"161","39145","Scioto County, Ohio","pct.black",2.8
"162","39147","Seneca County, Ohio","pct.black",2.4
"163","39149","Shelby County, Ohio","pct.black",1.7
"164","39151","Stark County, Ohio","pct.black",7.7
"165","39153","Summit County, Ohio","pct.black",14.6
"166","39155","Trumbull County, Ohio","pct.black",8.4
"167","39157","Tuscarawas County, Ohio","pct.black",0.7
"168","39159","Union County, Ohio","pct.black",2
"169","39161","Van Wert County, Ohio","pct.black",0.9
"170","39163","Vinton County, Ohio","pct.black",0.3
"171","39165","Warren County, Ohio","pct.black",3.4
"172","39167","Washington County, Ohio","pct.black",1
"173","39169","Wayne County, Ohio","pct.black",1.5
"174","39171","Williams County, Ohio","pct.black",0.9
"175","39173","Wood County, Ohio","pct.black",2.3
"176","39175","Wyandot County, Ohio","pct.black",0.4
"177","39001","Adams County, Ohio","pct.latino",0.8
"178","39003","Allen County, Ohio","pct.latino",3.2
"179","39005","Ashland County, Ohio","pct.latino",1.6
"180","39007","Ashtabula County, Ohio","pct.latino",4.6
"181","39009","Athens County, Ohio","pct.latino",2.3
"182","39011","Auglaize County, Ohio","pct.latino",1.7
"183","39013","Belmont County, Ohio","pct.latino",1.2
"184","39015","Brown County, Ohio","pct.latino",1.1
"185","39017","Butler County, Ohio","pct.latino",6.5
"186","39019","Carroll County, Ohio","pct.latino",1.1
"187","39021","Champaign County, Ohio","pct.latino",1.7
"188","39023","Clark County, Ohio","pct.latino",3.9
"189","39025","Clermont County, Ohio","pct.latino",2.4
"190","39027","Clinton County, Ohio","pct.latino",1.8
"191","39029","Columbiana County, Ohio","pct.latino",1.7
"192","39031","Coshocton County, Ohio","pct.latino",1.1
"193","39033","Crawford County, Ohio","pct.latino",1.5
"194","39035","Cuyahoga County, Ohio","pct.latino",6.6
"195","39037","Darke County, Ohio","pct.latino",1.7
"196","39039","Defiance County, Ohio","pct.latino",10.3
"197","39041","Delaware County, Ohio","pct.latino",3.3
"198","39043","Erie County, Ohio","pct.latino",4.1
"199","39045","Fairfield County, Ohio","pct.latino",2.5
"200","39047","Fayette County, Ohio","pct.latino",2.4
"201","39049","Franklin County, Ohio","pct.latino",6.9
"202","39051","Fulton County, Ohio","pct.latino",8.9
"203","39053","Gallia County, Ohio","pct.latino",0.9
"204","39055","Geauga County, Ohio","pct.latino",1.7
"205","39057","Greene County, Ohio","pct.latino",3.1
"206","39059","Guernsey County, Ohio","pct.latino",1.2
"207","39061","Hamilton County, Ohio","pct.latino",4.4
"208","39063","Hancock County, Ohio","pct.latino",5.6
"209","39065","Hardin County, Ohio","pct.latino",2.3
"210","39067","Harrison County, Ohio","pct.latino",0.9
"211","39069","Henry County, Ohio","pct.latino",7.9
"212","39071","Highland County, Ohio","pct.latino",1
"213","39073","Hocking County, Ohio","pct.latino",0.8
"214","39075","Holmes County, Ohio","pct.latino",1.1
"215","39077","Huron County, Ohio","pct.latino",7
"216","39079","Jackson County, Ohio","pct.latino",0.9
"217","39081","Jefferson County, Ohio","pct.latino",1.8
"218","39083","Knox County, Ohio","pct.latino",1.9
"219","39085","Lake County, Ohio","pct.latino",4.9
"220","39087","Lawrence County, Ohio","pct.latino",1.1
"221","39089","Licking County, Ohio","pct.latino",2.2
"222","39091","Logan County, Ohio","pct.latino",2.2
"223","39093","Lorain County, Ohio","pct.latino",10.5
"224","39095","Lucas County, Ohio","pct.latino",7.5
